Temperature_C,Feels_Like_C,Humidity_Percent,Dew_Point_C,Pressure_hPa,Wind_Speed_mps,Wind_Direction_deg,Precipitation_mm,Cloud_Cover_Percent,Visibility_km,UV_Index,Latitude,Longitude,Weather_Class
15.3,15.3,82.9,6.81,994.74,40.0,301.3,5.0,86.3,12.12,4.2,-22.6834,90.1891,Rainy
15.74,15.74,45.0,3.82,1010.2,40.0,153.6,0.0,86.5,6.66,7.4,13.8765,77.9227,Cloudy
17.56,17.56,42.9,4.8,1022.7,40.0,345.4,0.0,88.5,11.8,8.7,-23.3323,-161.0447,Cloudy
23.77,27.93,91.7,22.32,1019.52,40.0,206.9,0.31,81.8,11.83,3.4,50.9048,-32.4857,Humid
15.99,15.99,10.6,-0.21,1029.91,8.0,196.4,0.0,16.2,13.69,6.7,-48.3402,-112.7336,Dusty
30.43,55.0,74.4,19.57,974.43,26.78,271.5,8.0,97.1,20.0,1.2,31.2051,-171.0388,Thunderstorm
40.0,40.46,42.1,-8.77,1024.12,40.0,299.6,0.0,6.6,20.0,10.6,38.9912,49.8939,Heatwave
33.54,38.13,95.9,32.78,1005.94,40.0,229.9,0.09,88.1,10.93,6.2,34.7474,48.555,Humid
6.17,-2.81,39.6,-6.55,1021.23,40.0,239.8,0.0,73.1,18.3,3.7,-54.4387,-108.9437,Cloudy
49.58,44.78,60.8,1.46,1020.27,40.0,226.3,0.0,36.8,11.13,12.3,-3.7886,66.4925,Heatwave
4.42,-5.43,23.3,-14.71,1010.71,40.0,21.3,0.0,72.9,18.66,3.0,-5.9932,60.2799,Cloudy
23.33,55.0,60.9,15.36,1006.82,40.0,116.7,0.0,74.8,7.58,5.3,-28.9004,125.0718,Cloudy
16.68,16.68,94.8,15.85,1014.12,1.62,39.4,0.12,71.0,0.05,3.7,42.7492,-37.9912,Foggy
6.88,-1.74,92.9,-1.01,1001.82,40.0,146.3,5.0,86.5,12.33,4.4,44.8209,44.2384,Rainy
22.53,12.28,36.5,5.56,1045.29,40.0,153.4,0.0,12.9,17.27,8.1,-0.3191,120.5797,Clear
40.34,40.67,46.5,9.8,1016.88,40.0,284.5,0.0,43.1,14.72,11.8,-6.509,171.5522,Heatwave
43.84,41.33,53.0,4.66,1006.83,40.0,145.2,0.0,49.5,6.59,11.6,-38.2881,-36.9671,Heatwave
-12.15,-12.62,76.4,-15.43,1010.28,1.56,140.2,5.7,95.8,8.02,3.4,38.4319,100.9092,Snowy
13.56,13.56,27.3,-4.93,1014.8,40.0,127.2,0.0,86.7,10.84,7.2,-51.7115,-90.5031,Cloudy
18.65,16.5,26.8,1.14,1018.0,40.0,237.4,0.0,12.4,10.03,12.0,-36.6803,153.4289,Clear
4.67,4.67,99.2,4.55,1020.72,3.11,12.4,0.0,88.2,0.05,2.9,42.5815,-179.0578,Foggy
13.27,13.27,86.2,12.25,1007.47,40.0,202.9,22.74,80.7,20.0,3.0,0.7668,-100.0907,Rainy
19.31,10.39,24.0,-9.3,970.76,11.16,302.0,8.0,98.4,14.96,5.8,-52.168,-90.7432,Thunderstorm
23.35,19.92,62.8,12.63,975.44,21.76,98.7,8.0,86.8,20.0,2.1,-48.6116,-48.7015,Thunderstorm
16.21,16.21,78.6,12.48,1003.23,40.0,140.0,0.0,77.9,8.58,3.1,-31.0208,109.4859,Cloudy
16.16,16.16,77.3,10.26,1015.82,17.67,243.6,0.5,72.1,8.81,1.1,-28.9056,170.8637,Drizzle
14.82,14.82,52.7,5.24,1010.45,40.0,14.3,0.0,76.7,11.31,4.7,20.9441,-50.5799,Cloudy
13.92,13.92,58.3,5.87,1008.67,40.0,78.0,0.0,66.7,10.18,3.1,20.1333,98.3446,Cloudy
-15.2,-17.36,42.5,-25.08,1006.26,4.32,85.0,0.43,37.9,19.25,3.3,8.6037,164.6674,Cold
15.58,15.58,80.5,11.42,1008.86,40.0,53.9,0.64,85.9,6.34,6.7,0.2067,161.9197,Drizzle
47.87,40.69,57.0,-6.06,1020.99,38.29,272.9,0.0,34.8,13.36,12.3,-50.3267,-89.9426,Heatwave
5.37,-4.01,85.5,-7.18,1027.07,40.0,66.1,0.5,81.3,20.0,4.8,-5.6567,-179.5529,Drizzle
8.53,0.97,26.5,5.01,1047.38,40.0,117.8,0.0,11.9,18.58,8.1,15.7446,-174.1443,Clear
42.2,44.36,67.7,18.26,998.26,40.0,95.0,0.0,73.8,20.0,10.5,38.9062,65.6826,Heatwave
28.19,15.01,52.8,5.44,992.84,10.73,175.7,8.0,85.4,6.45,2.8,36.0731,-74.5917,Thunderstorm
34.89,39.62,97.3,34.4,1010.97,40.0,229.5,0.78,86.0,7.46,5.2,-9.7258,-149.3561,Humid
10.69,10.69,85.1,6.47,994.2,40.0,302.9,0.66,90.1,16.07,2.8,20.8317,-56.7982,Drizzle
6.79,-1.74,68.5,1.41,1019.99,38.29,290.8,0.0,86.5,11.15,3.5,54.6189,168.8524,Cloudy
39.34,41.34,42.7,1.59,1022.63,40.0,120.9,0.0,39.9,20.0,14.5,21.5965,-63.0097,Hot
33.14,36.88,87.5,30.76,1016.12,40.0,106.0,0.27,92.2,10.59,5.5,11.0339,142.1401,Humid
27.07,55.0,75.7,21.03,972.39,23.08,254.8,50.33,99.9,20.0,4.4,-50.1013,-105.1967,Thunderstorm
19.84,-0.7,30.1,-8.84,986.49,12.85,89.1,22.73,91.2,13.11,5.7,29.5639,34.4057,Thunderstorm
25.09,12.16,57.6,4.04,995.95,34.52,216.7,8.0,96.2,14.18,4.3,-20.6871,30.0219,Thunderstorm
32.96,37.69,97.4,32.48,1021.78,40.0,116.3,1.95,81.2,14.07,3.1,-53.2316,154.8042,Humid
-15.9,-17.29,40.5,-26.24,1032.68,2.78,131.4,0.0,66.0,9.01,4.0,-34.4853,131.3669,Cold
10.55,10.55,66.8,4.63,1023.54,15.01,92.0,0.0,63.1,8.47,6.2,22.7032,56.5225,Cloudy
11.8,11.8,87.0,5.37,1001.01,40.0,126.3,5.0,87.4,8.78,2.4,-22.4531,-153.7192,Rainy
11.67,10.53,53.4,-6.94,1035.7,40.0,331.8,0.0,14.5,15.62,6.4,59.0098,90.5648,Clear
7.79,-0.38,90.8,-6.99,994.19,40.0,42.3,7.04,83.9,15.59,6.0,-14.043,-57.0913,Rainy
32.3,55.0,61.3,13.6,979.56,10.0,140.5,44.99,85.3,17.78,3.2,49.0449,-153.7371,Thunderstorm
29.84,33.25,84.1,26.86,1006.95,40.0,277.8,0.75,81.0,5.31,4.8,-18.9643,32.2124,Humid
24.1,24.1,92.8,8.94,1012.27,40.0,16.5,5.0,82.4,14.64,1.6,-59.1272,-114.0782,Rainy
29.97,33.92,89.5,28.05,1006.56,40.0,155.8,0.21,92.2,6.12,1.5,18.6697,-124.941,Humid
26.54,30.88,93.4,25.38,1008.24,40.0,113.6,1.5,93.7,5.12,2.5,-58.5701,-74.2595,Humid
34.92,39.19,92.7,33.56,1014.25,34.52,225.4,0.91,86.1,7.91,8.7,-11.3471,-112.3752,Humid
27.55,31.47,89.2,25.61,1009.29,40.0,96.7,1.43,80.1,8.04,3.7,-39.2206,-150.2307,Humid
16.2,16.2,56.9,7.64,1012.97,40.0,127.2,0.0,75.4,10.27,4.5,19.8495,32.0348,Cloudy
-21.99,-22.99,48.0,-30.01,1001.56,2.0,292.4,0.0,22.2,10.05,4.4,1.3914,-51.352,Cold
26.86,10.26,46.7,-0.65,975.14,22.74,298.4,17.35,86.1,8.09,4.0,-21.2595,12.1517,Thunderstorm
-3.88,55.0,37.5,-4.47,1038.73,40.0,293.0,0.0,4.8,10.78,6.5,8.5625,-33.5621,Clear
16.36,55.0,23.8,13.09,1027.89,40.0,48.4,0.0,19.0,16.55,9.3,45.3756,-76.3994,Clear
-24.29,-26.01,58.1,-30.15,1021.07,3.44,72.4,0.0,20.8,19.99,2.7,57.2807,-164.7545,Cold
14.68,14.68,16.0,9.34,1011.59,8.31,69.2,0.0,17.6,13.13,3.6,45.0121,-100.8727,Dusty
26.45,17.77,34.6,11.53,1033.24,40.0,47.2,0.0,6.4,15.49,10.5,17.5383,133.8792,Clear
18.55,18.55,62.3,11.19,1019.75,40.0,167.2,0.0,73.5,15.42,1.8,56.8582,144.1926,Cloudy
4.65,-5.1,95.1,2.09,975.35,26.13,182.0,10.0,93.4,14.03,1.2,-34.7551,-55.3125,Stormy
2.08,-8.95,48.4,-7.67,1024.32,40.0,149.8,0.0,88.8,13.37,4.9,-31.7041,-5.8137,Cloudy
11.21,11.21,94.5,10.36,1000.64,3.1,212.7,0.0,72.7,0.84,6.3,48.8746,-150.4254,Foggy
15.33,15.33,89.5,10.9,1015.63,23.73,340.5,1.64,85.6,6.17,5.6,-17.9871,-68.8318,Drizzle
20.84,55.0,13.7,15.85,1017.33,10.12,16.1,0.0,5.7,13.49,4.0,34.1492,147.4592,Dusty
19.32,19.32,99.6,19.25,1008.91,0.58,257.1,0.0,77.5,0.42,2.3,-38.3583,147.4108,Foggy
17.22,17.22,78.9,14.81,1003.29,40.0,28.1,0.9,71.9,5.54,3.6,50.2232,-123.8808,Drizzle
8.82,1.17,58.6,1.15,1022.29,40.0,206.1,0.0,76.4,20.0,2.9,-3.1407,16.2862,Cloudy
11.27,19.06,39.8,1.73,1035.64,40.0,196.1,0.0,2.1,15.87,10.1,15.5244,-15.808,Clear
37.55,39.55,32.5,2.55,1013.49,40.0,106.3,0.0,64.7,7.3,9.3,12.8912,-34.5191,Hot
24.8,55.0,100.0,22.91,1004.97,40.0,5.3,0.0,74.3,20.0,2.7,13.5282,68.1413,Cloudy
19.28,17.66,60.5,9.92,973.63,15.53,15.5,11.74,96.1,19.38,4.9,-15.2068,100.2922,Thunderstorm
22.29,55.0,23.2,19.51,1005.17,8.0,307.0,0.0,7.2,12.48,2.5,48.6996,-151.7736,Dusty
39.84,40.8,62.2,-9.36,1019.57,40.0,346.6,0.0,33.6,12.96,13.2,8.8637,-17.2296,Heatwave
2.93,-7.66,48.1,-6.96,1018.68,40.0,97.6,0.0,89.3,14.92,1.1,-52.7558,-123.9979,Cloudy
18.23,18.23,97.4,17.82,997.18,4.59,19.4,0.0,79.3,0.23,2.8,39.1915,76.4957,Foggy
23.83,23.83,86.5,-8.11,1032.03,40.0,117.9,0.5,74.7,6.34,2.7,-30.2639,-110.2652,Drizzle
5.05,-4.49,81.9,-20.02,1023.16,40.0,263.6,0.5,75.0,20.0,5.8,-56.6172,49.4289,Drizzle
30.3,20.07,20.4,5.81,1021.68,40.0,299.1,0.0,22.9,10.51,9.3,10.1443,162.4841,Clear
-15.78,-16.23,83.6,-17.9,986.39,1.53,203.1,3.52,80.4,6.92,3.3,-47.792,-26.3784,Snowy
41.36,53.37,69.2,10.78,992.84,40.0,159.4,0.0,91.2,20.0,14.4,38.6391,-151.1024,Heatwave
5.04,-4.5,79.7,-7.04,1013.11,40.0,255.2,1.84,89.7,11.28,6.3,-34.4187,98.7043,Drizzle
31.35,34.38,80.4,27.55,1015.36,40.0,213.5,2.01,89.9,5.89,2.7,56.6399,179.811,Humid
4.47,-5.35,37.4,-8.79,1013.72,40.0,275.1,0.0,61.3,20.0,6.8,38.3183,-116.5549,Cloudy
16.48,16.24,55.5,7.31,989.01,17.52,176.7,8.0,91.9,17.09,8.1,-43.0289,68.0029,Thunderstorm
13.35,13.35,68.7,7.72,1018.23,40.0,149.4,0.0,71.2,2.24,1.6,29.9356,-44.137,Cloudy
19.13,19.13,92.0,17.8,1008.88,40.0,357.8,0.0,82.6,15.35,4.4,30.9131,151.9412,Cloudy
18.63,18.63,92.2,13.4,997.47,15.0,290.5,10.0,93.3,3.54,3.4,-42.6414,173.5456,Stormy
22.03,12.25,34.8,4.45,1049.07,40.0,294.3,0.0,10.3,14.42,8.5,-58.3247,-142.6561,Clear
8.72,1.02,37.2,-5.07,1011.48,40.0,6.9,0.0,82.6,6.69,3.6,18.2741,-125.0271,Cloudy
30.28,34.64,93.6,29.12,1024.26,19.53,230.5,0.2,86.0,11.19,4.6,-10.7373,21.6156,Humid
22.66,55.0,74.1,17.8,1011.26,40.0,1.3,0.0,66.7,17.92,2.5,49.6648,17.6196,Cloudy
20.07,55.0,92.6,12.97,980.36,15.0,136.1,10.0,97.9,5.49,5.4,-24.0677,98.9766,Stormy
12.07,12.07,50.2,2.03,1007.43,40.0,238.0,0.0,86.4,9.32,4.0,-34.3393,-57.3897,Cloudy
26.99,55.0,88.9,16.99,950.21,26.86,250.7,10.0,92.6,4.89,8.1,12.303,110.2225,Stormy
-9.64,-12.89,85.0,-11.68,985.93,10.84,42.8,13.15,94.6,7.46,4.5,52.9688,-146.7413,Snowy
38.75,43.14,66.5,-5.02,1007.51,40.0,180.3,0.0,53.2,7.11,13.6,-36.7267,-14.4675,Heatwave
11.24,11.24,67.1,5.35,1014.71,40.0,354.3,0.0,73.5,12.69,5.3,11.1057,-163.4912,Cloudy
13.48,13.48,87.1,-2.03,1010.0,40.0,15.7,0.5,82.5,19.76,3.2,-51.0403,176.1359,Drizzle
7.83,11.84,34.9,5.27,1044.6,40.0,217.1,0.0,12.9,15.61,8.3,-15.5264,123.1392,Clear
14.76,14.76,75.1,8.78,1020.1,40.0,149.7,0.57,89.6,19.76,4.6,-31.8935,-67.1533,Drizzle
26.1,30.69,95.9,25.4,1017.02,25.44,136.1,2.11,73.2,6.48,6.0,-55.7058,122.9637,Humid
42.94,49.13,49.9,-0.46,1019.12,31.6,355.0,0.0,9.0,19.28,14.9,41.235,-118.4159,Heatwave
-14.97,-17.02,73.8,-18.58,1011.11,6.85,46.8,2.97,80.4,8.53,2.9,20.1394,-89.9862,Snowy
-22.77,-24.42,34.9,-34.0,1037.32,3.3,72.0,0.0,51.6,13.42,8.3,-15.438,6.504,Cold
28.16,-1.37,33.6,-3.72,1035.16,25.31,19.3,0.0,28.8,14.01,5.1,-16.1881,55.4508,Clear
30.85,34.14,82.9,27.59,1012.94,40.0,106.0,0.59,73.2,10.78,7.9,-11.3038,-47.4803,Humid
30.01,34.33,93.2,28.79,1011.97,40.0,328.2,0.69,83.8,12.0,5.9,-49.4781,150.8706,Humid
41.69,43.69,18.2,17.28,1000.35,40.0,32.3,4.72,79.1,14.67,10.1,-51.698,82.3887,Hot
26.63,31.06,94.2,25.62,1011.67,20.88,136.6,1.04,94.6,5.2,3.7,26.8368,-19.8687,Humid
10.68,18.56,49.1,0.32,1037.48,40.0,325.3,0.0,26.4,15.88,9.9,36.7865,93.2893,Clear
13.1,-7.39,23.6,1.58,1048.7,40.0,99.8,0.0,12.3,14.8,10.8,5.128,-20.233,Clear
38.85,52.64,47.2,4.21,1012.46,3.33,304.3,0.0,0.0,12.65,13.1,-54.4599,161.2386,Heatwave
26.77,30.99,92.2,25.39,1010.04,40.0,121.1,0.09,76.1,7.31,4.2,-46.9287,129.0586,Humid
8.93,10.66,55.3,-1.26,1047.46,40.0,97.1,0.0,3.6,17.58,8.7,-16.7286,-128.7685,Clear
-9.39,10.14,53.5,-11.25,1037.68,40.0,21.7,0.0,15.1,17.78,9.2,18.0263,-150.9197,Clear
8.83,1.18,56.1,0.55,1000.68,40.0,171.8,0.0,81.0,1.94,5.1,37.2378,84.3086,Cloudy
14.35,14.35,29.9,-3.03,1007.05,40.0,190.9,0.0,60.1,5.38,1.5,51.3115,164.4781,Cloudy
45.86,46.17,54.0,-4.15,1011.13,40.0,297.9,0.0,61.4,1.93,13.4,47.1941,66.2498,Heatwave
-6.69,-9.8,85.7,-8.68,1005.01,10.36,188.9,25.05,87.9,4.89,0.5,29.3737,-140.9019,Snowy
